model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,CartPole-v1,2,2.0573039018806507,1.5180745124816895,96w@8192
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,CartPole-v1,2,2.057314250821774,1.518003225326538,96w@8192
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,CartPole-v1,2,2.0573141323405206,1.5185678005218506,96w@8192
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,CartPole-v1,2,2.0573125918583814,1.5746538639068604,96w@8192
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,CartPole-v1,2,2.057312830855101,1.591402292251587,96w@8192
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,CartPole-v1,2,0.9845460308105629,1.5879781246185303,96w@8192
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,CartPole-v1,2,1.065858617431147,1.5872092247009277,96w@8192
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,CartPole-v1,2,1.1616863192297449,1.5877370834350586,96w@8192
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,CartPole-v1,2,1.3599829665069534,1.5884733200073242,96w@8192
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,CartPole-v1,2,1.6680213901775978,1.5881774425506592,96w@8192
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,CartPole-v1,2,1.4429103928274967,1.5902879238128662,96w@8192
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,CartPole-v1,2,1.690921277329345,1.8733127117156982,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,CartPole-v1,2,2.0573199660432415,1.5839488506317139,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,CartPole-v1,2,2.0572994655125996,1.582685947418213,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,CartPole-v1,2,2.057300703249617,1.5876801013946533,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,CartPole-v1,2,2.0573150490447407,1.5834689140319824,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,CartPole-v1,2,2.0573131524744483,1.5839674472808838,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,CartPole-v1,2,2.057312108706899,1.5824053287506104,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,CartPole-v1,2,2.057313048414703,1.5316121578216553,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=1,level,1,-1,CartPole-v1,2,1.060123062322802,1.5071842670440674,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=2,level,2,-1,CartPole-v1,2,0.9740899592632001,1.5079898834228516,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=4,level,4,-1,CartPole-v1,2,0.9589260928431416,1.5075230598449707,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=6,level,6,-1,CartPole-v1,2,0.9525184718751509,1.5564815998077393,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=8,level,8,-1,CartPole-v1,2,0.9759049890811575,1.5918705463409424,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=12,level,12,-1,CartPole-v1,2,1.142165809564836,1.5926527976989746,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=16,level,16,-1,CartPole-v1,2,1.365675416493914,1.8840749263763428,96w@8192
Chronos-2 S (level),Chronos-2 S (level) level r=1,level,1,-1,CartPole-v1,2,0.9146321963270654,0.4847707748413086,96w@8192
Moirai,Moirai diff r=1,diff,1,-1,CartPole-v1,2,,0.004415750503540039,96w@8192
Moirai,Moirai diff r=2,diff,2,-1,CartPole-v1,2,,0.001829385757446289,96w@8192
Moirai,Moirai diff r=4,diff,4,-1,CartPole-v1,2,,0.0013384819030761719,96w@8192
Moirai,Moirai diff r=6,diff,6,-1,CartPole-v1,2,,0.0013208389282226562,96w@8192
Moirai,Moirai diff r=8,diff,8,-1,CartPole-v1,2,,0.0013272762298583984,96w@8192
Moirai,Moirai diff r=12,diff,12,-1,CartPole-v1,2,,0.0013446807861328125,96w@8192
Moirai,Moirai diff r=16,diff,16,-1,CartPole-v1,2,,0.0013511180877685547,96w@8192
Moirai,Moirai level r=1,level,1,-1,CartPole-v1,2,1.37480382283702,3.0567524433135986,96w@8192
Moirai,Moirai level r=2,level,2,-1,CartPole-v1,2,1.3013660896902863,3.062913417816162,96w@8192
Moirai,Moirai level r=4,level,4,-1,CartPole-v1,2,1.3149934723142735,3.063887596130371,96w@8192
Moirai,Moirai level r=6,level,6,-1,CartPole-v1,2,1.282141212583709,3.052570104598999,96w@8192
