model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Moirai,Moirai diff r=4,diff,4,-1,Acrobot-v1,2,,0.0015211105346679688,96w@4080
Moirai,Moirai diff r=6,diff,6,-1,Acrobot-v1,2,,0.001264333724975586,96w@4080
Moirai,Moirai diff r=8,diff,8,-1,Acrobot-v1,2,,0.001268625259399414,96w@4080
Moirai,Moirai diff r=12,diff,12,-1,Acrobot-v1,2,,0.0012819766998291016,96w@4080
Moirai,Moirai diff r=16,diff,16,-1,Acrobot-v1,2,,0.0013263225555419922,96w@4080
Moirai,Moirai level r=1,level,1,-1,Acrobot-v1,2,0.998085384452008,3.8855578899383545,96w@4080
Moirai,Moirai level r=2,level,2,-1,Acrobot-v1,2,0.9979891116264832,3.886263608932495,96w@4080
Moirai,Moirai level r=4,level,4,-1,Acrobot-v1,2,0.9977861686319667,3.910555601119995,96w@4080
Moirai,Moirai level r=6,level,6,-1,Acrobot-v1,2,0.9985748242435221,3.926220178604126,96w@4080
Moirai,Moirai level r=8,level,8,-1,Acrobot-v1,2,0.9985699519025734,3.8927831649780273,96w@4080
Moirai,Moirai level r=12,level,12,-1,Acrobot-v1,2,0.9993314701504792,4.152717590332031,96w@4080
Moirai,Moirai level r=16,level,16,-1,Acrobot-v1,2,0.999374012488282,4.1678550243377686,96w@4080
MLP,MLP lag 1,-,0,1,Acrobot-v1,2,,0.0030612945556640625,96w@4080
MLP,MLP lag 4,-,0,4,Acrobot-v1,2,,0.002849102020263672,96w@4080
MLP,MLP lag 16,-,0,16,Acrobot-v1,2,,0.0027437210083007812,96w@4080
VARX,VARX lag 1,-,0,1,Acrobot-v1,2,,0.0012121200561523438,96w@4080
VARX,VARX lag 4,-,0,4,Acrobot-v1,2,,0.0007886886596679688,96w@4080
VARX,VARX lag 16,-,0,16,Acrobot-v1,2,,0.0008242130279541016,96w@4080
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,Acrobot-v1,4,1.331497576741262,0.7003426551818848,96w@4080
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,Acrobot-v1,4,0.818527706133163,0.7128262519836426,96w@4080
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,Acrobot-v1,4,0.700216546182371,0.7147102355957031,96w@4080
