model,series,horizon_h,mae,rmse
chronos,Building_3:solar_generation,6,31.2339929552874,72.81060322606433
chronos,Building_3:solar_generation,12,33.201692073825214,78.34131925469326
chronos,Building_3:solar_generation,24,32.62370864093706,78.92791239727644
chronos,Building_4:non_shiftable_load,6,0.4367945083716413,0.640138494546624
chronos,Building_4:non_shiftable_load,12,0.44508113847869024,0.6479672271308964
chronos,Building_4:non_shiftable_load,24,0.45213331801701745,0.6584060644415874
chronos,Building_4:solar_generation,6,26.372243580365208,61.291388506967046
chronos,Building_4:solar_generation,12,28.04505367941304,65.96758988948427
chronos,Building_4:solar_generation,24,27.540337811122765,66.4427635276153
chronos,Building_5:non_shiftable_load,6,0.3543355218128959,0.5129604618061141
chronos,Building_5:non_shiftable_load,12,0.3673679150713541,0.5271896395302916
chronos,Building_5:non_shiftable_load,24,0.3731974315796368,0.539436336711591
chronos,Building_5:solar_generation,6,36.07131271105598,83.39929550843141
chronos,Building_5:solar_generation,12,38.57474435385018,89.40141703774421
chronos,Building_5:solar_generation,24,38.25457349008973,89.42945098699849
seasonal_naive,outdoor_dry_bulb_temperature,6,1.2456122214564669,1.7890415459437479
seasonal_naive,outdoor_dry_bulb_temperature,12,1.2448275862068965,1.7882322871046923
seasonal_naive,outdoor_dry_bulb_temperature,24,1.2444060773480663,1.7879584950748988
seasonal_naive,outdoor_relative_humidity,6,10.366069377440846,15.668872131423297
seasonal_naive,outdoor_relative_humidity,12,10.364137931034483,15.669804039000923
seasonal_naive,outdoor_relative_humidity,24,10.364986187845304,15.674319033498847
seasonal_naive,diffuse_solar_irradiance,6,43.207787732598206,101.72692135728227
seasonal_naive,diffuse_solar_irradiance,12,43.100344827586206,101.5734154965372
seasonal_naive,diffuse_solar_irradiance,24,43.04488950276243,101.46081263680482
seasonal_naive,direct_solar_irradiance,6,103.46278428669883,210.49053475011397
seasonal_naive,direct_solar_irradiance,12,103.18781609195402,210.08207974476323
seasonal_naive,direct_solar_irradiance,24,103.06319060773481,209.91379857334704
seasonal_naive,electricity_pricing,6,0.002823340225132093,0.019621387600444403
seasonal_naive,electricity_pricing,12,0.0028252873563218398,0.019628152430019797
seasonal_naive,electricity_pricing,24,0.0028291896869244936,0.01964170310642156
seasonal_naive,Building_1:non_shiftable_load,6,0.6830527874946015,1.082798854149024
seasonal_naive,Building_1:non_shiftable_load,12,0.6829920652848276,1.0828599705663757
seasonal_naive,Building_1:non_shiftable_load,24,0.6825698838959484,1.082293997866349
seasonal_naive,Building_1:solar_generation,6,48.72288806172525,126.23983209800096
seasonal_naive,Building_1:solar_generation,12,48.74802693464137,126.28282300158295
seasonal_naive,Building_1:solar_generation,24,48.807689361726524,126.36962579046053
seasonal_naive,Building_2:non_shiftable_load,6,0.579094897815627,0.9121530825357868
seasonal_naive,Building_2:non_shiftable_load,12,0.5787767161548896,0.9118727767248727
seasonal_naive,Building_2:non_shiftable_load,24,0.5786694575926206,0.9118544754728148
seasonal_naive,Building_2:solar_generation,6,30.965018322935904,85.0415058380894
seasonal_naive,Building_2:solar_generation,12,30.98065511672184,85.07033046829332
seasonal_naive,Building_2:solar_generation,24,31.01310278377993,85.1281429643817
seasonal_naive,Building_3:non_shiftable_load,6,0.4778249726384103,0.7711936831334966
seasonal_naive,Building_3:non_shiftable_load,12,0.47796565080177605,0.7713883326554901
seasonal_naive,Building_3:non_shiftable_load,24,0.477575323773778,0.7704421518811975
seasonal_naive,Building_3:solar_generation,6,32.80093857687342,90.95866805759363
seasonal_naive,Building_3:solar_generation,12,32.817194495708044,90.98942077530623
seasonal_naive,Building_3:solar_generation,24,32.85211023212017,91.0514162236717
seasonal_naive,Building_4:non_shiftable_load,6,0.5362752153274313,0.7923711944142807
seasonal_naive,Building_4:non_shiftable_load,12,0.5363811944368525,0.7925235146808381
seasonal_naive,Building_4:non_shiftable_load,24,0.5363857706147119,0.7925395130359498
seasonal_naive,Building_4:solar_generation,6,27.64202463601884,76.57559436116208
seasonal_naive,Building_4:solar_generation,12,27.655910321135632,76.6015180031889
seasonal_naive,Building_4:solar_generation,24,27.685752357663446,76.65376559559549
seasonal_naive,Building_5:non_shiftable_load,6,0.41214081704207695,0.6219288785554872
seasonal_naive,Building_5:non_shiftable_load,12,0.41210761337681856,0.6219669309695522
seasonal_naive,Building_5:non_shiftable_load,24,0.4116694371291807,0.6215207812204759
seasonal_naive,Building_5:solar_generation,6,38.46373201197565,104.2677911093668
seasonal_naive,Building_5:solar_generation,12,38.48102836543219,104.30305820961104
