model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,MountainCar-v0,2,0.1960420104428787,0.31055617332458496,96w@8192
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,MountainCar-v0,2,0.19603885593590364,0.31060004234313965,96w@8192
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,MountainCar-v0,2,0.19603780403216708,0.30766749382019043,96w@8192
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,MountainCar-v0,2,2.570520862325956,0.30461621284484863,96w@8192
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,MountainCar-v0,2,1.4074889087580353,0.30492234230041504,96w@8192
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,MountainCar-v0,2,0.9629487991577997,0.30594635009765625,96w@8192
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,MountainCar-v0,2,0.8522804236308825,0.3064901828765869,96w@8192
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,MountainCar-v0,2,0.956744179770334,0.3080155849456787,96w@8192
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,MountainCar-v0,2,0.6814898649618976,0.30674099922180176,96w@8192
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,MountainCar-v0,2,0.24756213898705337,0.3420424461364746,96w@8192
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,MountainCar-v0,2,0.18564379242427437,0.9560623168945312,96w@8192
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,MountainCar-v0,2,0.1959228317418037,0.9525997638702393,96w@8192
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,MountainCar-v0,2,0.1960360870577791,0.9564483165740967,96w@8192
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,MountainCar-v0,2,0.19603303564982774,0.97200608253479,96w@8192
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,MountainCar-v0,2,0.19602855686355464,0.9936609268188477,96w@8192
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,MountainCar-v0,2,0.19603237872319856,0.9884135723114014,96w@8192
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,MountainCar-v0,2,0.1960336867396986,0.9890584945678711,96w@8192
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,MountainCar-v0,2,1.2000039380959024,0.9888792037963867,96w@8192
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,MountainCar-v0,2,0.667895417562798,0.9860496520996094,96w@8192
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,MountainCar-v0,2,0.46047941865803266,0.9853181838989258,96w@8192
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,MountainCar-v0,2,0.3037543542273763,0.9870679378509521,96w@8192
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,MountainCar-v0,2,0.26289382654798776,0.9863114356994629,96w@8192
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,MountainCar-v0,2,0.21776203563646745,0.9856884479522705,96w@8192
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,MountainCar-v0,2,0.19184457520635181,1.139050006866455,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,MountainCar-v0,2,0.19593318444304594,0.9865109920501709,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,MountainCar-v0,2,0.19602847456360736,0.9851963520050049,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,MountainCar-v0,2,0.19605855761800725,0.9853589534759521,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,MountainCar-v0,2,0.19605882116098958,0.9870829582214355,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,MountainCar-v0,2,0.1961198908887674,0.9856433868408203,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,MountainCar-v0,2,0.19608007098446373,0.9983160495758057,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,MountainCar-v0,2,0.19602989562874043,1.0330007076263428,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=1,level,1,-1,MountainCar-v0,2,8.018837268086083,0.9852817058563232,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=2,level,2,-1,MountainCar-v0,2,2.044886783683107,0.9929802417755127,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=4,level,4,-1,MountainCar-v0,2,1.355765370246897,1.0217094421386719,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=6,level,6,-1,MountainCar-v0,2,0.993891814113062,0.9862773418426514,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=8,level,8,-1,MountainCar-v0,2,0.6315164701377146,1.0092525482177734,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=12,level,12,-1,MountainCar-v0,2,0.40621592662595635,1.0732429027557373,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=16,level,16,-1,MountainCar-v0,2,0.2784991869948916,1.1346714496612549,96w@8192
Chronos-2 S (level),Chronos-2 S (level) level r=1,level,1,-1,MountainCar-v0,2,2.570520862325956,0.31461572647094727,96w@8192
Moirai,Moirai diff r=1,diff,1,-1,MountainCar-v0,2,,0.007996320724487305,96w@8192
Moirai,Moirai diff r=2,diff,2,-1,MountainCar-v0,2,,0.001463174819946289,96w@8192
Moirai,Moirai diff r=4,diff,4,-1,MountainCar-v0,2,,0.0013163089752197266,96w@8192
Moirai,Moirai diff r=6,diff,6,-1,MountainCar-v0,2,,0.0013012886047363281,96w@8192
Moirai,Moirai diff r=8,diff,8,-1,MountainCar-v0,2,,0.0013179779052734375,96w@8192
Moirai,Moirai diff r=12,diff,12,-1,MountainCar-v0,2,,0.001323699951171875,96w@8192
Moirai,Moirai diff r=16,diff,16,-1,MountainCar-v0,2,,0.0013222694396972656,96w@8192
Moirai,Moirai level r=1,level,1,-1,MountainCar-v0,2,2.597344312620144,2.1879706382751465,96w@8192
Moirai,Moirai level r=2,level,2,-1,MountainCar-v0,2,2.5452693725573337,2.184985876083374,96w@8192
Moirai,Moirai level r=4,level,4,-1,MountainCar-v0,2,2.8534027727504707,2.19211483001709,96w@8192
Moirai,Moirai level r=6,level,6,-1,MountainCar-v0,2,3.5148760121995477,2.5771703720092773,96w@8192
Moirai,Moirai level r=8,level,8,-1,MountainCar-v0,2,3.5353921245283324,2.6460213661193848,96w@8192
Moirai,Moirai level r=12,level,12,-1,MountainCar-v0,2,3.3971529312527,2.603092908859253,96w@8192
Moirai,Moirai level r=16,level,16,-1,MountainCar-v0,2,3.4594855336660957,2.302027463912964,96w@8192
MLP,MLP lag 1,-,0,1,MountainCar-v0,2,,0.003036022186279297,96w@8192
MLP,MLP lag 4,-,0,4,MountainCar-v0,2,,0.0027854442596435547,96w@8192
MLP,MLP lag 16,-,0,16,MountainCar-v0,2,,0.002710103988647461,96w@8192
VARX,VARX lag 1,-,0,1,MountainCar-v0,2,,0.0011670589447021484,96w@8192
